Trial.ID Target.ID Lexicality MorphType Target Prime primeType logfreq.Zipf.t lent lenp logfreq.Zipf.p Nt Np
12217 217 NONWORD NA monna monaco rel NA 5 6 3.918464487 24 5
12218 218 NONWORD NA tunla tundra rel NA 5 6 2.433961279 1 1
22219 219 NONWORD NA antra abbazia ctrl NA 5 7 2.911082533 16 3
22220 220 NONWORD NA fioga farmaco ctrl NA 5 7 3.818800925 4 4
22221 221 NONWORD NA trefi lituano ctrl NA 5 7 2.337051266 5 4
22222 222 NONWORD NA burta maniaco ctrl NA 5 7 3.884650179 13 3
22223 223 NONWORD NA pignu pittura ctrl NA 5 7 3.580089314 3 5
22224 224 NONWORD NA frago rimessa ctrl NA 5 7 3.586249623 11 6
12225 225 NONWORD NA attio attrezzo rel NA 5 8 3.407089132 9 2
12226 226 NONWORD NA chigo chirurgo rel NA 5 8 4.086345776 7 4
12227 227 NONWORD NA compo compasso rel NA 5 8 2.446195735 18 3
12228 228 NONWORD NA baggo bagaglio rel NA 5 8 3.698104 4 4
22229 229 NONWORD NA inome clausura ctrl NA 5 8 2.304866582 8 1
22230 230 NONWORD NA lasto coniglio ctrl NA 5 8 4.085792887 19 5
22231 231 NONWORD NA putre granchio ctrl NA 5 8 3.607563737 7 2
22232 232 NONWORD NA pasci terrazzo ctrl NA 5 8 3.164051084 11 3
22233 233 NONWORD NA ecero zucchero ctrl NA 5 8 4.239365034 6 4
12234 234 NONWORD NA cosso congresso rel NA 5 9 1.491953226 26 3
12235 235 NONWORD NA ralvo ravanello rel NA 5 9 2.232315915 6 1
12236 236 NONWORD NA scazo scagnozzo rel NA 5 9 2.958079096 5 3
22237 237 NONWORD NA sollo incognito ctrl NA 5 9 3.318028 27 3
22238 238 NONWORD NA traso compresso ctrl NA 5 9 2.747225731 15 6
22239 239 NONWORD NA fiscuge radicchio ctrl NA 7 9 2.168646835 0 0
12240 240 NONWORD NA auliso ausilio rel NA 6 7 2.337051266 1 2
12241 241 NONWORD NA forvai fornace rel NA 6 7 3.03602127 3 3
12242 242 NONWORD NA olfote olfatto rel NA 6 7 3.175450543 0 4
12243 243 NONWORD NA sbagro sbaglio rel NA 6 7 4.5330497 1 5
12244 244 NONWORD NA aranto amaranto rel NA 6 8 2.003836587 9 0
12245 245 NONWORD NA melezo merluzzo rel NA 6 8 3.099408249 1 2
12246 246 NONWORD NA vilaco vigliacco rel NA 6 9 3.855094935 1 2
12247 247 NONWORD NA petiro pettirosso rel NA 6 10 2.446195735 1 1
12248 248 NONWORD NA colsoto colorito rel NA 7 8 3.130442483 0 8
22249 249 NONWORD NA sappeta giuridica ctrl NA 7 9 2.421372151 0 2
12250 250 NONWORD NA mammupo mammalucco rel NA 7 10 2.337051266 0 0
12251 251 NONWORD NA alni albino rel NA 4 6 2.863021088 18 9
12252 252 NONWORD NA pafo paiolo rel NA 4 6 2.168646835 19 3
12253 253 NONWORD NA pama papaia rel NA 4 6 2.168646835 42 5
22254 254 NONWORD NA clui diaria ctrl NA 4 6 2.381254928 12 2
22255 255 NONWORD NA sapi rapido ctrl NA 4 6 3.855094935 23 9
22256 256 NONWORD NA gade badare ctrl NA 4 6 4.091836 28 8
12257 257 NONWORD NA sipo sipario rel NA 4 7 3.379851714 22 1
22258 258 NONWORD NA zofe armeria ctrl NA 4 7 3.277283 4 2
12259 259 NONWORD NA elne elegante rel NA 4 8 4.095638775 9 4
12260 260 NONWORD NA losa lobbista rel NA 4 8 2.653321228 38 2
12261 261 NONWORD NA relo reticolo rel NA 4 8 2.552651066 30 1
12262 262 NONWORD NA alnia aliante rel NA 5 7 2.552651066 3 1
12263 263 NONWORD NA bise bisonte rel NA 4 7 2.834375907 25 2
22264 264 NONWORD NA lirdo armadio ctrl NA 5 7 4.189182568 6 2
22265 265 NONWORD NA fasso cascata ctrl NA 5 7 3.516233602 18 7
22266 266 NONWORD NA gesue gesuita ctrl NA 5 7 2.59746341 2 2
22267 267 NONWORD NA siste insetto ctrl NA 5 7 3.798914089 17 8
22268 268 NONWORD NA fippo nitrito ctrl NA 5 7 2.682284924 8 6
22269 269 NONWORD NA ispro pastore ctrl NA 5 7 3.986455673 5 9
22270 270 NONWORD NA gabre pendici ctrl NA 5 7 2.25162107 5 6
22271 271 NONWORD NA mitte schiave ctrl NA 5 7 2.96907448 14 5
12272 272 NONWORD NA froio frantoio rel NA 5 8 1.792983221 3 0
12273 273 NONWORD NA ocusa oculista rel NA 5 8 2.70943717 3 1
12274 274 NONWORD NA sepre serpente rel NA 5 8 4.170926602 14 6
22275 275 NONWORD NA liboi araldico ctrl NA 5 8 1.734991274 2 1
22276 276 NONWORD NA masta batteria ctrl NA 5 8 4.046745135 25 6
22277 277 NONWORD NA denpo fermento ctrl NA 5 8 2.798378253 8 2
22278 278 NONWORD NA ponta fraterno ctrl NA 5 8 2.972678605 20 3
22279 279 NONWORD NA itago italiano ctrl NA 5 8 4.186339029 3 8
22280 280 NONWORD NA zimle sommario ctrl NA 5 8 2.70943717 2 2
12281 281 NONWORD NA manza mattinata rel NA 5 9 3.843169571 21 4
12282 282 NONWORD NA piaca piazzista rel NA 5 9 2.145165739 13 1
12283 283 NONWORD NA reane realmente rel NA 5 9 4.221320531 11 3
22284 284 NONWORD NA elzuo ambulanza ctrl NA 5 9 4.357945026 0 3
22285 285 NONWORD NA macre delizioso ctrl NA 5 9 4.145888961 9 8
12286 286 NONWORD NA allui alligatore rel NA 5 10 3.293013756 4 2
12287 287 NONWORD NA imuza imprudenza rel NA 5 10 2.630255924 1 2
12288 288 NONWORD NA prote proiettile rel NA 5 10 4.381254928 21 3
22289 289 NONWORD NA glaci esuberanza ctrl NA 5 10 2.304866582 2 0
