Trial.ID Target.ID Lexicality Morphtype Target Prime.x Primetype Logfreq.Zipf.t Lent Lenp Logfreq.Zipf.p Nt Np Language
212234 234 NONWORD NA cosso congresso rel NA 5 9 1.491953226 26 3 ita
212235 235 NONWORD NA ralvo ravanello rel NA 5 9 2.232315915 6 1 ita
212236 236 NONWORD NA scazo scagnozzo rel NA 5 9 2.958079096 5 3 ita
222237 237 NONWORD NA sollo incognito ctrl NA 5 9 3.318028 27 3 ita
222238 238 NONWORD NA traso compresso ctrl NA 5 9 2.747225731 15 6 ita
222239 239 NONWORD NA fiscuge radicchio ctrl NA 7 9 2.168646835 0 0 ita
212240 240 NONWORD NA auliso ausilio rel NA 6 7 2.337051266 1 2 ita
212241 241 NONWORD NA forvai fornace rel NA 6 7 3.03602127 3 3 ita
212242 242 NONWORD NA olfote olfatto rel NA 6 7 3.175450543 0 4 ita
212243 243 NONWORD NA sbagro sbaglio rel NA 6 7 4.5330497 1 5 ita
212244 244 NONWORD NA aranto amaranto rel NA 6 8 2.003836587 9 0 ita
212245 245 NONWORD NA melezo merluzzo rel NA 6 8 3.099408249 1 2 ita
212246 246 NONWORD NA vilaco vigliacco rel NA 6 9 3.855094935 1 2 ita
212247 247 NONWORD NA petiro pettirosso rel NA 6 10 2.446195735 1 1 ita
212248 248 NONWORD NA colsoto colorito rel NA 7 8 3.130442483 0 8 ita
222249 249 NONWORD NA sappeta giuridica ctrl NA 7 9 2.421372151 0 2 ita
212250 250 NONWORD NA mammupo mammalucco rel NA 7 10 2.337051266 0 0 ita
212251 251 NONWORD NA alni albino rel NA 4 6 2.863021088 18 9 ita
212252 252 NONWORD NA pafo paiolo rel NA 4 6 2.168646835 19 3 ita
212253 253 NONWORD NA pama papaia rel NA 4 6 2.168646835 42 5 ita
222254 254 NONWORD NA clui diaria ctrl NA 4 6 2.381254928 12 2 ita
222255 255 NONWORD NA sapi rapido ctrl NA 4 6 3.855094935 23 9 ita
222256 256 NONWORD NA gade badare ctrl NA 4 6 4.091836 28 8 ita
212257 257 NONWORD NA sipo sipario rel NA 4 7 3.379851714 22 1 ita
222258 258 NONWORD NA zofe armeria ctrl NA 4 7 3.277283 4 2 ita
212259 259 NONWORD NA elne elegante rel NA 4 8 4.095638775 9 4 ita
212260 260 NONWORD NA losa lobbista rel NA 4 8 2.653321228 38 2 ita
212261 261 NONWORD NA relo reticolo rel NA 4 8 2.552651066 30 1 ita
212262 262 NONWORD NA alnia aliante rel NA 5 7 2.552651066 3 1 ita
212263 263 NONWORD NA bise bisonte rel NA 4 7 2.834375907 25 2 ita
222264 264 NONWORD NA lirdo armadio ctrl NA 5 7 4.189182568 6 2 ita
222265 265 NONWORD NA fasso cascata ctrl NA 5 7 3.516233602 18 7 ita
222266 266 NONWORD NA gesue gesuita ctrl NA 5 7 2.59746341 2 2 ita
222267 267 NONWORD NA siste insetto ctrl NA 5 7 3.798914089 17 8 ita
222268 268 NONWORD NA fippo nitrito ctrl NA 5 7 2.682284924 8 6 ita
222269 269 NONWORD NA ispro pastore ctrl NA 5 7 3.986455673 5 9 ita
