"relatednessrel:morphTypeop:vocabulary","relatednessrel:morphTypetr:vocabulary","car::anova_pValue","nSbj","nDatapoints","converged"
0.219736849074262,-1.84163213130001,0.00104175234924324,40,7045,1
-3.51356934547647,-2.02487658557499,2.01543820409026e-08,40,7192,1
-1.77575290661198,-3.10349529555215,8.52177919193381e-06,40,7181,1
-1.3047642532999,-3.27256532876578,1.47090400677575e-06,40,7273,1
1.89966343377427,-2.75316396137022,2.48648412885462e-07,40,7142,1
-1.09064028911796,-2.2718236974272,0.000687135900032806,40,7214,1
-1.93530618804367,-3.69351721314791,7.13680774411838e-11,40,7326,1
1.37909558695527,-1.73661522998483,0.000625864807447989,40,6917,1
0.346005504011994,-3.10602471106292,5.20595416985244e-09,40,7123,1
-1.13496924633362,-4.25073278875754,2.24678849951329e-13,40,7154,1
-4.20747517480254,-1.27992305910122,1.7452365522846e-12,40,7153,1
-2.44772630951471,-1.42174090607049,0.000332518808841857,40,7184,1
-0.107332765965577,-0.907344730390336,0.22315948677094,40,7148,1
-0.126616568731,-1.01020551995273,0.240175483711519,40,6993,1
1.01732864324943,-3.10120269913841,6.45621925763535e-10,40,7058,1
-1.73369837079622,-2.57452607716398,0.747843292411865,40,7154,0
-1.8397676939314,-3.75974984303488,0.532346675529087,40,7203,0
-1.46345981996937,-5.38868316908328,2.72083212264525e-21,40,7244,1
-2.57275299580413,-7.10022936878232,8.4426392496716e-30,40,7063,1
-2.7062777898048,-3.26255193690989,5.76961556325061e-09,40,7206,1
